ref,word,sourceid,synset_id,gloss,alternate_words
s5wi3dzb05_hiya.mp4,15,,302112701,being one more than fourteen,"15, fifteen"
q21ovpuimq_hiya.mp4,16,,302112793,being one more than fifteen,"16, sixteen"
nhmoaiy4mn_hiya.mp4,17,,302112885,being one more than sixteen,"17, seventeen"
zmky0vplvt_hiya.mp4,18,,302112980,being one more than seventeen,"18, eighteen"
yfilqmw30g_hiya.mp4,19,,302113077,being one more than eighteen,"19, nineteen"
tkfzzefels_hiya.mp4,2,,302111412,"being one more than one; ""he received two messages""","2, two"
gkprlkannf_hiya.mp4,2 hours,9,,,
nsxz5iq90m_hiya.mp4,2 million,76,,,
mhl9vfqsch_hiya.mp4,2 o'clock,9,,,
citnfdxfx2_hiya.mp4,20,,302113171,denoting a quantity consisting of 20 items or units,"20, twenty"
cd23ijmdv1_hiya.mp4,200,9,302123153,being ten more than one hundred ninety,"200, two_hundred"
oljxz8i3mz_hiya.mp4,2000,76,,,
3mtco5bf8d_hiya.mp4,2001,9,,,
avgxcxzlhb_hiya.mp4,2002,9,,,
cgtj538xdh_hiya.mp4,201965458,104,201965458,meet at a point,"cross, intersect"
7cdjnrj0ar_hiya.mp4,21,76,302113285,being one more than twenty,"21, twenty-one"
stgr3ezilp_hiya.mp4,22,76,112972789,the cardinal number that is the sum of twenty-one and one,"22, twenty-two"
ecxqzexsgg_hiya.mp4,23,76,302113474,being three more than twenty,"23, twenty-three"
fg0s1nfbcj_hiya.mp4,24,9,302113574,being four more than twenty,"24, twenty-four"
dfwqs0gdje_hiya.mp4,25,9,302113671,being five more than twenty,"25, twenty-five"
2qgoqrxcxd_hiya.mp4,26,76,302113767,being six more than twenty,"26, twenty-six"
rn63ff58xy_hiya.mp4,27,76,302113862,being seven more than twenty,"27, twenty-seven"
3cqlbizjpw_hiya.mp4,28,76,112973568,the cardinal number that is the sum of twenty-seven and one,"28, twenty-eight"
7iuuqrbiaj_hiya.mp4,29,76,302114063,being nine more than twenty,"29, twenty-nine"
hyxstifn2j_hiya.mp4,3,,302111522,being one more than two,"3, three"
cbiawkuwaf_hiya.mp4,3 hours,9,,,
en8nbrhohf_hiya.mp4,3 million,76,,,
ggeylgltza_hiya.mp4,3 minutes,9,,,
kowsjtsjw5_hiya.mp4,3 o'clock,9,,,
4ghuq77shp_hiya.mp4,30,9,302114160,being ten more than twenty,"30, thirty"
jbgizluyt1_hiya.mp4,300,76,302123260,being one hundred more than two hundred,"300, three_hundred"
ghmobvv78x_hiya.mp4,3000,9,,,
aqkibjdwdd_hiya.mp4,31,76,302114250,being one more than thirty,"31, thirty-one"
gn0qu3ng6z_hiya.mp4,32,9,302114345,being two more than thirty,"32, thirty-two"
djbcesgbuv_hiya.mp4,33,9,302114441,being three more than thirty,"33, thirty-three"
njzypw9unt_hiya.mp4,34,9,302114542,being four more than thirty,"34, thirty-four"
swmybrgmsl_hiya.mp4,35,76,302114640,being five more than thirty,"35, thirty-five"
yqojfxtusl_hiya.mp4,36,76,302114737,being six more than thirty,"36, thirty-six"
b7rgsolb3v_hiya.mp4,37,76,302114833,being severn more than thirty,"37, thirty-seven"
ofwg7uhamn_hiya.mp4,38,9,302114935,being eight more than thirty,"38, thirty-eight"
plpqxbxe8s_hiya.mp4,39,76,302115037,being nine more than thirty,"39, thirty-nine"
6waxzxnu6z_hiya.mp4,3g,108,,,
euekoajcyh_hiya.mp4,4,,302111607,being one more than three,"4, four"
pwqouz02na_hiya.mp4,4 hours,9,,,
3e8nr5ljzu_hiya.mp4,4 million,76,,,
jjagk9y0hb_hiya.mp4,4 minutes,9,,,
dtozr8t3cl_hiya.mp4,4 o'clock,9,,,
wftyrkojfl_hiya.mp4,40,9,302115133,being ten more than thirty,"40, forty, twoscore"
vow5gfn3nn_hiya.mp4,400,76,302123371,being one hundred more than three hundred,"400, cd, four_hundred"
cjqe5zvaea_hiya.mp4,4000,76,,,
pln1lql3vr_hiya.mp4,41,76,302115232,being one more than forty,"41, forty-one"
5fljcq8d8a_hiya.mp4,42,76,302115324,being two more than forty,"42, forty-two"
s11d1loftx_hiya.mp4,43,76,302115417,being three more than forty,"43, forty-three"
g7b7bkxlgu_hiya.mp4,44,76,302115515,being four more than forty,"44, forty-four"
q4mecuyzpe_hiya.mp4,45,76,302115610,being five more than forty,"45, forty-five"
t0x0shfjkf_hiya.mp4,46,76,302115704,being six more than forty,"46, forty-six"
welvjtmz2o_hiya.mp4,47,76,302115797,being seven more than forty,"47, forty-seven"
aedrztt7fa_hiya.mp4,48,76,302115895,being eight more than forty,"48, forty-eight"
jnktc6tb67_hiya.mp4,49,9,302115994,being nine more than forty,"49, forty-nine"
db5xggrtvq_hiya.mp4,4g,108,500000017,the fourth generation of mobile telecommunications technology,4g
hf91kna1ai_hiya.mp4,5,9,302111692,being one more than four,"5, five"
tfppxlqa7w_hiya.mp4,5 hours,9,,,
sbccgdkmbg_hiya.mp4,5 million,76,,,
mh9ixvr0mq_hiya.mp4,5 minutes,9,,,
e5aw7egd2n_hiya.mp4,5 o'clock,9,,,
mgdxwe1zog_hiya.mp4,50,9,302116087,being ten more than forty,"50, fifty"
lgokxovjrz_hiya.mp4,500,76,302123482,denoting a quantity consisting of 500 items or units,"500, five_hundred"
dpz86ofbdh_hiya.mp4,5000,9,,,
jd4oatbhru_hiya.mp4,51,76,302116173,being one more than fifty,"51, fifty-one"
bek5lj14ff_hiya.mp4,52,9,302116264,being two more than fifty,"52, fifty-two"
s98z5djzrv_hiya.mp4,53,76,302116356,being three more than fifty,"53, fifty-three"
jmq6w2clv8_hiya.mp4,54,9,302116453,being four more than fifty,"54, fifty-four"
gdnw1hy7jb_hiya.mp4,55,76,302116547,being five more than fifty,"55, fifty-five"
sl2sebovbq_hiya.mp4,56,9,302116640,being six more than fifty,"56, fifty-six"
rvnmfwmhyh_hiya.mp4,57,76,302116732,being seven more than fifty,"57, fifty-seven"
r3lhs8wmdh_hiya.mp4,58,9,302116829,being eight more than fifty,"58, fifty-eight"
3eezb9g12w_hiya.mp4,59,76,302116927,being nine more than fifty,"59, fifty-nine"
ljij2w0mxs_hiya.mp4,6,9,302111775,denoting a quantity consisting of six items or units,"6, half_a_dozen, half_dozen, six"
ncerjnwzsi_hiya.mp4,6 hours,9,,,
posa1zbjgi_hiya.mp4,6 o'clock,9,,,
1ggu3f6dhi_hiya.mp4,60,9,302117021,being ten more than fifty,"60, sixty, threescore"
20qbpytt2e_hiya.mp4,600,9,,,
2yej1bhqdx_hiya.mp4,61,76,302117121,being one more than sixty,"61, sixty-one"
tdj7u9xmrk_hiya.mp4,62,76,302117213,being two more than sixty,"62, sixty-two"
vv8ph2lnpx_hiya.mp4,63,76,302117306,being three more than sixty,"63, sixty-three"
nvkuelscdv_hiya.mp4,64,76,302117404,being four more than sixty,"64, sixty-four"
afwzd7dwur_hiya.mp4,65,9,302117499,being five more than sixty,"65, sixty-five"
sy2jtehawp_hiya.mp4,66,76,302117593,being six more than sixty,"66, sixty-six"
pwjuo2awqo_hiya.mp4,67,76,302117686,being seven more than sixty,"67, sixty-seven"
larif1kn9e_hiya.mp4,68,9,302117784,being eight more than sixty,"68, sixty-eight"
dp6adwwrfy_hiya.mp4,69,76,302117883,being nine more than sixty,"69, sixty-nine"
ovcxmi4t6u_hiya.mp4,7,,302111914,being one more than six,"7, seven"
9z3nvwljl2_hiya.mp4,7 hours,9,,,
55z0rzlp0e_hiya.mp4,70,76,302117978,being ten more than sixty,"70, seventy"
xjf2xjivia_hiya.mp4,700,76,,,
frlrgj9urc_hiya.mp4,71,9,302118068,being one more than seventy,"71, seventy-one"
btlra1v86e_hiya.mp4,72,76,302118165,being two more than seventy,"72, seventy-two"
7vkqhwvbba_hiya.mp4,73,9,302118263,being three more than seventy,"73, seventy-three"
w54sjl8fed_hiya.mp4,74,76,302118366,being four more than seventy,"74, seventy-four"
ouhf35fykg_hiya.mp4,75,76,302118466,being five more than seventy,"75, seventy-five"
0q5rxycodx_hiya.mp4,76,76,302118565,being six more than seventy,"76, seventy-six"
bysj3c4i3n_hiya.mp4,77,76,302118663,being seven more than seventy,"77, seventy-seven"
6rjfwhk2w8_hiya.mp4,78,76,302118766,being eight more than seventy,"78, seventy-eight"
165qpfsfom_hiya.mp4,79,76,302118870,being nine more than seventy,"79, seventy-nine"
erfeumws4f_hiya.mp4,8,76,302111999,being one more than seven,"8, eight"
us3sdnhox7_hiya.mp4,8 o'clock,9,,,
o9uiyt2xxt_hiya.mp4,80,76,302118970,being ten more than seventy,"80, eighty, fourscore"
pmcu3raay3_hiya.mp4,800,9,,,
v2perhao5l_hiya.mp4,8000,9,,,
yvsww1yh8x_hiya.mp4,81,76,302119074,being one more than eighty,"81, eighty-one"
89hzvagjua_hiya.mp4,82,76,302119170,being two more than eighty,"82, eighty-two"
hf0wprvvxk_hiya.mp4,83,9,302119267,being three more than eighty,"83, eighty-three"
fqpbkuqmro_hiya.mp4,84,9,302119369,being four more than eighty,"84, eighty-four"
itd97ztk4z_hiya.mp4,85,9,302119468,being five more than eighty,"85, eighty-five"
zajymkijoh_hiya.mp4,86,76,302119566,being six more than eighty,"86, eighty-six"
vfh2gkaqlo_hiya.mp4,87,76,302119663,being seven more than eighty,"87, eighty-seven"
fovpbvtqry_hiya.mp4,88,9,302119765,being eight more than eighty,"88, eighty-eight"
aabkuspb61_hiya.mp4,89,76,302119868,being nine more than eighty,"89, eighty-nine"
b4bnbtyam2_hiya.mp4,9,,302112087,denoting a quantity consisting of one more than eight and one less than ten,"9, nine"
dyx1wxaxux_hiya.mp4,9 hours,9,,,
46f5uwfsfc_hiya.mp4,9 minutes,9,,,
3jykvhb8ka_hiya.mp4,9 o'clock,9,,,
5c1yrhingw_hiya.mp4,90,76,302119964,being ten more than eighty,"90, ninety"
cx5fjro7vy_hiya.mp4,900,76,,,
lmwjmx3f2r_hiya.mp4,91,76,302120053,being one more than ninety,"91, ninety-one"
vnfkjiw4g3_hiya.mp4,92,9,302120147,being two more than ninety,"92, ninety-two"
rbfkwabjqi_hiya.mp4,93,9,302120242,being three more than ninety,"93, ninety-three"
kqvr3lkmvn_hiya.mp4,94,9,302120342,being four more than ninety,"94, ninety-four"
czdkjcnp91_hiya.mp4,95,76,302120439,being five more than ninety,"95, ninety-five"
ofukiysscf_hiya.mp4,96,9,302120535,being six more than ninety,"96, ninety-six"
cgr72kzozj_hiya.mp4,97,9,302120630,being seven more than ninety,"97, ninety-seven"
bjg1riqxuv_hiya.mp4,98,9,302120730,being eight more than ninety,"98, ninety-eight"
rjllxhhvjf_hiya.mp4,99,9,302120831,being nine more than ninety,"99, ninety-nine"
vowxjftlax_hiya.mp4,a,104,106411501,the 1st letter of the Roman alphabet,A
dcitvu2uja_hiya.mp4,a bird sits on a tree,76,,,
rwea5d73y9_hiya.mp4,a bit much,4,,,
swtemrtgp2_hiya.mp4,a broken heart and a contrite spirit,68,,,
9donxgreff_hiya.mp4,a building settling down,4,201930515,"settle into a position, usually on a surface or ground; ""dust settled on the roofs""","settle, settle_down"
e0zm1psiw6_hiya.mp4,a bunch,9,,,
4imyyld2cs_hiya.mp4,a buy,4,,,
qqkcv3ybl9_hiya.mp4,a d,9,106804089,a public promotion of some product or service,"ad, advert, advertisement, advertising, advertizement, advertizing"
huqqveozy9_hiya.mp4,a day,4,,,
nabw9qmjgr_hiya.mp4,a few,9,112985140,"an indefinite but relatively small number; ""they bought a case of beer and drank a few""","few, some"
zz6xevfqfb_hiya.mp4,a fish out of water,4,,,
lwnjzmkoq9_hiya.mp4,a fresh pair of eyes,4,,,
tpcrbog0s1_hiya.mp4,a group going to somewhere,76,,,
jiajulhuzm_hiya.mp4,a huge discount,76,,,
f9ox9ndn3b_hiya.mp4,a la carte,4,106096073,a menu having individual dishes listed with separate prices,a_la_carte
vebxp9mpjp_hiya.mp4,a little bird told me,4,,,
1kxmetg47l_hiya.mp4,a little bit,9,,,
hqsqejx4jm_hiya.mp4,a long time,9,,,
bzmhugbdqk_hiya.mp4,a long time ago,4,,,
vwnartuzmh_hiya.mp4,a lot,76,400060294,"to a very great degree or extent; ""we enjoyed ourselves very much""; ""she was very much interested""; ""this would help a great deal""","a_good_deal, a_great_deal, a_lot, much, very_much"
i6saerbozk_hiya.mp4,a lot of people are joining me,76,,,
kci16z97hk_hiya.mp4,a lot of people getting my attention,76,,,
unbcwixtpv_hiya.mp4,a lot of people leaving,76,,,
exbc8jwgnv_hiya.mp4,a lot of people transfer in,76,,,
kqszy6nefg_hiya.mp4,a lot of planning,76,,,
yfy9a2anuc_hiya.mp4,a lot of text on page,76,,,
gktvs0e7hy_hiya.mp4,a mess,9,,,
edpkxgnksc_hiya.mp4,a penny for your thoughts,4,,,
qdjwaqflkc_hiya.mp4,a penny saved is a penny earned,4,,,
ocohdon3zh_hiya.mp4,a picture is worth a thousand words,4,,,
yajc9jqem3_hiya.mp4,a posterior knowledge,107,,,
m3pptgqkap_hiya.mp4,a pretty penny,4,,,
rkzf9o1ugv_hiya.mp4,a priori knowledge,107,,,
cg0jp6becv_hiya.mp4,a rolling stone gathers no moss,4,,,
krn49om9ns_hiya.mp4,a running animal,76,,,
wp3axua46e_hiya.mp4,a textbook case,4,,,
0z9gzgnymt_hiya.mp4,a thousand,9,302123603,"denoting a quantity consisting of 1,000 items or units","1000, a_thousand, one_thousand, thousand"
wckcmwrozo_hiya.mp4,a to b,9,,,
olt5fwlnld_hiya.mp4,a watched pot never boils,4,,,
w2bl3zngyc_hiya.mp4,a week ago,104,,,
7jdjo7ket4_hiya.mp4,a while,9,400146518,"for a short time; ""sit down and stay awhile""; ""they settled awhile in Virginia before moving West""; ""the baby was quiet for a while""","awhile, for_a_while"
htjtf0aqwd_hiya.mp4,a year ago,9,,,
pjnooraoaj_hiya.mp4,a-list,4,106084816,"a list of names of specially favored people; ""the boss gave me his A-list of people we should try to recruit""",A-list
cjbznzlrd1_hiya.mp4,a-ok,4,,,
ajyxmbspd7_hiya.mp4,a-ok,15,301081948,in perfect condition or order,"a-ok, a-okay"
mjgrw2hh5k_hiya.mp4,a.m.,4,300135894,before noon,"a.m., ante_meridiem"
v9wvdmnhmy_hiya.mp4,a.m.,9,400254274,"before noon; ""let''s meet at 11 A.M.""","A.M., am, ante_meridiem"
gmfaptpzqf_hiya.mp4,a.w.s. (american welding society),8,,,
kgfsfwwwpp_hiya.mp4,a/c,8,102594301,a system that keeps air cool and dry,"ac, air_conditioner, air_conditioning"
2mvxg6hxzc_hiya.mp4,a/c compressor,8,,,
uccuxqwtzi_hiya.mp4,a1,4,,,
ef8xnicqrw_hiya.mp4,aa,104,114082515,a dry form of lava resembling clinkers,aa
6jylntuy1f_hiya.mp4,aaaachoo,4,,,
gmiz8smd9h_hiya.mp4,aaah,4,,,
4yk4zhmafv_hiya.mp4,aagh,4,,,
i67wsd9rns_hiya.mp4,aah,4,,,
z8wbubi2xv_hiya.mp4,aaronic priesthood,55,,,
1bbqk6mzqp_hiya.mp4,aback,4,400076598,"by surprise; ""taken aback by the caustic remarks""",aback
c3roja7kt2_hiya.mp4,abaft,4,400278279,"at or near or toward the stern of a ship or tail of an airplane; ""stow the luggage aft""; ""ships with square sails sail fairly efficiently with the wind abaft""; ""the captain looked astern to see what the fuss was about""","abaft, aft, astern"
trbtqic6xh_hiya.mp4,abandon,4,202163637,"forsake, leave behind; ""We abandoned the old car in the empty parking lot""",abandon
py9kqugwqc_hiya.mp4,abaracadabara,4,,,
skarvlvvob_hiya.mp4,abase,4,201747514,"cause to feel shame; hurt the pride of; ""He humiliated his colleague by criticising him in front of the boss""","abase, chagrin, humble, humiliate, mortify"
93w1bfwtwu_hiya.mp4,abash,4,201740167,cause to be embarrassed; cause to feel self-conscious,"abash, embarrass"
etlh8dbzsb_hiya.mp4,abashed,104,300503086,"feeling or caused to feel uneasy and self-conscious; ""felt abashed at the extravagant praise""; ""chagrined at the poor sales of his book""; ""was embarrassed by her child''s tantrums""","abashed, chagrined, embarrassed"
unajch5pvn_hiya.mp4,abate,4,200236959,"become less in amount or intensity; ""The storm abated""; ""The rain let up after a few hours""","abate, die_away, let_up, slack, slack_off"
g5rbpuxnja_hiya.mp4,abbey,4,102576199,a church associated with a monastery or convent,abbey
0kagcgslmb_hiya.mp4,abbot,4,109135599,the superior of an abbey of monks,"abbot, archimandrite"
5iuj5qb2ox_hiya.mp4,abbreviate,78,200235649,"shorten; ""Abbreviate `New York'' and write `NY''""",abbreviate
rnhq6buv0b_hiya.mp4,abcs,9,105530901,"the elementary stages of any subject (usually plural); ""he mastered only the rudiments of geometry""","ABC, ABC's, ABCs, alphabet, first_principle, first_rudiment, rudiment"
rwikh38bud_hiya.mp4,abdicate,4,202308091,"give up, such as power, as of monarchs and emperors, or duties and obligations; ""The King abdicated when he married a divorcee""","abdicate, renounce"
z0utzaqfuv_hiya.mp4,abdomen,104,105238880,the region of the body of a vertebrate between the thorax and the pelvis,"abdomen, belly, stomach, venter"
9dfnta3nxw_hiya.mp4,abdominal surgery,78,,,
it3gkodt1i_hiya.mp4,abduct,4,201429431,"take away to an undisclosed location against their will and usually in order to extract a ransom; ""The industrialist''s son was kidnapped""","abduct, kidnap, nobble, snatch"
rbyhsbutes_hiya.mp4,abduct,4,201408129,"pull away from the body; ""this muscle abducts""",abduct
bzjcen9ppi_hiya.mp4,abductee,4,,,
uwt5h2ilmj_hiya.mp4,abduction,107,500000014,"inference to the best explanation; ""The sun has risen every day so far, therefore the sun will rise tomorrow""",abduction
lannrmx1ej_hiya.mp4,abductor,4,104986440,a muscle that draws a part away from the median line,"abductor, abductor_muscle"
emrlbhn2la_hiya.mp4,abed,4,400232138,in bed,abed
vm5qe86axk_hiya.mp4,aberrant,4,301546837,"markedly different from an accepted norm; ""aberrent behavior""; ""deviant ideas""","aberrant, deviant"
ufrnek7g9i_hiya.mp4,abet,4,202473944,"assist or encourage, usually in some wrongdoing",abet
suzytqdtoy_hiya.mp4,abetter,4,109137238,one who helps or encourages or incites another,"abetter, abettor"
2yoiovygya_hiya.mp4,abeyance,4,113211880,temporary cessation or suspension,"abeyance, suspension"
9tei67i4pl_hiya.mp4,abhor,4,201723090,"find repugnant; ""I loathe that man""; ""She abhors cats""","abhor, abominate, execrate, loathe"
kswmcj61dw_hiya.mp4,abidance,4,101136978,acting according to certain accepted standards,"abidance, compliance, conformation, conformity"
osjtsiwyuo_hiya.mp4,abidded by,4,,,
s3m5zyhukw_hiya.mp4,abide,4,202558733,"dwell; ""You can stay with me while you are in town""; ""stay a bit longer--the day is still young""","abide, bide, stay"
jibelt02po_hiya.mp4,abilities,4,104904666,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,ability
nbuzuedazi_hiya.mp4,ability,9,104904666,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,ability
apez8o0asd_hiya.mp4,abiotic,4,,,
bnokqaywfo_hiya.mp4,abjection,4,113622309,"a low or downcast state; ""each confession brought her into an attitude of abasement""- H.L.Menchken","abasement, abjection, degradation"
wg0yfkogxu_hiya.mp4,abjuration,4,106763221,a disavowal or taking back of a previous assertion,"abjuration, recantation, retraction"
1uoyoh0izj_hiya.mp4,ablate,4,200171112,remove an organ or bodily structure,ablate
fuonmg7ioy_hiya.mp4,ablaze,4,301672127,"keenly excited (especially sexually) or indicating excitement; ""his face all ablaze with excitement""- Bram Stoker; ""he was aflame with desire""","ablaze, aflame, aroused, turned_on"
5jmpzopf0l_hiya.mp4,able,55,300001740,"(usually followed by `to'') having the necessary means or skill or know-how or authority to do something; ""able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project""",able
k7bcilmayq_hiya.mp4,able to,9,,,
zerrogrovx_hiya.mp4,able-bodied,4,300973666,"having a strong healthy body; ""an able seaman""; ""every able-bodied young man served in the army""","able, able-bodied"
9llvxdvynj_hiya.mp4,abler,4,,,
mxa0u0noo3_hiya.mp4,abloom,4,301437704,"bursting into flower; ""flowering spring trees""","abloom, efflorescent, flowering"
rirazy3zji_hiya.mp4,abnegate,4,200733223,"deny or renounce; ""They abnegated their gods""",abnegate
8tbbpjkvje_hiya.mp4,abnormal,78,301546359,"not normal; not typical or usual or regular or conforming to a norm; ""abnormal powers of concentration""; ""abnormal amounts of rain""; ""abnormal circumstances""; ""an abnormal interest in food""",abnormal
wz55kfg3bw_hiya.mp4,aboard,4,400252849,"on a ship, train, plane or other vehicle","aboard, onboard"
4uwmjah5x7_hiya.mp4,abode,4,103141215,"housing that someone is living in; ""he built a modest dwelling near the pond""; ""they raise money to provide homes for the homeless""","abode, domicile, dwelling, dwelling_house, habitation, home"
jf1p4v2797_hiya.mp4,abolish,4,202354201,"do away with; ""Slavery was abolished in the mid-19th century in America and in Russia""","abolish, get_rid_of"
gwrg11bowy_hiya.mp4,abolition,4,100216234,"the act of abolishing a system or practice or institution (especially abolishing slavery); ""the abolition of capital punishment""","abolishment, abolition"
3x1bkbnc32_hiya.mp4,abolitionist,4,109137806,a reformer who favors abolishing slavery,"abolitionist, emancipationist"
tnzmlzdwpi_hiya.mp4,abominable,4,301410365,"unequivocally detestable; ""abominable treatment of prisoners""; ""detestable vices""; ""execrable crimes""; ""consequences odious to those you govern""- Edmund Burke","abominable, detestable, execrable, odious"
bmpgw0i836_hiya.mp4,abominate,4,201723090,"find repugnant; ""I loathe that man""; ""She abhors cats""","abhor, abominate, execrate, loathe"
g4zeasaunb_hiya.mp4,abort,104,200057995,terminate a pregnancy by undergoing an abortion,abort
hvfcuefryn_hiya.mp4,abortion,22,100218257,termination of pregnancy,abortion
law5twweqv_hiya.mp4,abortionist,4,109138298,a person (who should be a doctor) who terminates pregnancies,abortionist
a0pmg5cgia_hiya.mp4,abound,4,202635699,be abundant or plentiful; exist in large quantities,abound
u8kecqmwnq_hiya.mp4,about,9,500000433,"relating to, or on the topic of; ""she doesn't know the first thing about him,"" ""what about you?"" ""what are your thoughts regarding these events?""","about, regarding"
71mdhin0qx_hiya.mp4,about,4,400006660,"(of quantities) imprecise but fairly close to correct; ""lasted approximately an hour""; ""in just about a minute""; ""he''s about 30 years old""; ""I''ve had about all I can stand""; ""we meet about once a month""; ""some forty people came""; ""weighs around a hundre","about, approximately, around, close_to, just_about, more_or_less, or_so, roughly, some"
0gqld6s47k_hiya.mp4,about,4,400073130,"to or among many different places or in no particular direction; ""wandering about with no place to go""; ""people were rushing about""; ""news gets around (or about)""; ""traveled around in Asia""; ""he needs advice from someone who''s been around""; ""she sleeps a","about, around"
oiqmkewhxl_hiya.mp4,about (approximately),55,,,
qxyvrzlyns_hiya.mp4,about face,4,201853259,"turn, usually 180 degrees",about-face
nuhwg09run_hiya.mp4,above,76,400080673,"at an earlier place; ""see above""","above, supra"
rev5qsbl6o_hiya.mp4,above all,4,400152881,"above and beyond all other consideration; ""above all, you must be independent""","above_all, most_especially, most_importantly"
vl8i9qyubu_hiya.mp4,aboveboard,4,302236924,"without concealment or deception; honest; ""their business was open and aboveboard""; ""straightforward in all his business affairs""","aboveboard, straightforward"
q9r3pakpww_hiya.mp4,abracadabra,4,106201883,gibberish and nonsense,abracadabra
im4jy8tade_hiya.mp4,abraham,68,110102792,"the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham''s family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son; ""Judaism, Christia","Abraham, Ibrahim"
aejyadlscj_hiya.mp4,abraham lincoln,70,110408858,16th President of the United States; saved the Union during the Civil War and emancipated the slaves; was assassinated by Booth (1809-1865),"Abraham_Lincoln, Lincoln, President_Abraham_Lincoln, President_Lincoln"
6oylfmr2fy_hiya.mp4,abraham lincoln's birthday,78,,,
7zpxligvti_hiya.mp4,abrasion,104,113475939,an abraded area where the skin is torn or worn off,"abrasion, excoriation, scrape, scratch"
qysvsjn2ul_hiya.mp4,abrasive,4,302160590,causing abrasion,"abrasive, scratchy"
suhohla5t1_hiya.mp4,abreast,4,400253454,"alongside each other, facing on the same direction",abreast
nayjfc8qok_hiya.mp4,abridge,4,200235800,"reduce in scope while retaining essential elements; ""The manuscript must be shortened""","abbreviate, abridge, contract, cut, foreshorten, reduce, shorten"
spadkvxlwo_hiya.mp4,abroad,4,400104900,"to or in a foreign country; ""they had never travelled abroad""",abroad
kzqsxdoggq_hiya.mp4,abrogate,4,202404321,revoke formally,abrogate
duwdus0dqx_hiya.mp4,abrupt,104,302212502,"marked by sudden changes in subject and sharp transitions; ""abrupt prose""","abrupt, disconnected"
soxqx1edyo_hiya.mp4,abscess,4,113501259,symptom consisting of a localized collection of pus surrounded by inflamed tissue,abscess
nzxt07afcs_hiya.mp4,abscissa,4,105656467,the value of a coordinate on the horizontal axis,abscissa
u1zncrjb8t_hiya.mp4,abscond (with something stolen),4,202015113,run away; usually includes taking something or somebody along,"abscond, absquatulate, bolt, decamp, go_off, run_off"
blycg6h56r_hiya.mp4,absconder,4,109136326,a fugitive who runs away and hides to avoid arrest or prosecution,absconder
xbsbdlk6at_hiya.mp4,absence,4,113167340,"the state of being absent; ""he was surprised by the absence of any explanation""",absence
cjejdz5cdi_hiya.mp4,absent,70,301787034,not in a specified place physically or mentally,absent
fk4f6ocatx_hiya.mp4,absentee,4,109138746,one that is absent or not in residence,absentee
tnfbola1bs_hiya.mp4,absentminded,4,300170583,"lost in thought; showing preoccupation; ""an absent stare""; ""an absentminded professer""; ""the scatty glancing quality of a hyperactive but unfocused intelligence""","absent, absentminded, abstracted, scatty"
fa9to1uqzo_hiya.mp4,absolute,4,300529347,"without conditions or limitations; ""a total ban""","absolute, total, unconditioned"
gzxmrqfums_hiya.mp4,absolute location,70,,,
